Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion
1488;U+1F199;🆙;;;;;;;;;;—;;UP! button
1489;U+1F19A;🆚;;;;;;;;;;—;;VS button
1490;U+1F201;🈁;;;;;;;;;;—;—;Japanese “here” button
1491;U+1F202;🈂;;;;;;;;;;—;;Japanese “service charge” button
1492;U+1F237;🈷;;;;;;;;;;—;—;Japanese “monthly amount” button
1493;U+1F236;🈶;;;;;;;;;;—;—;Japanese “not free of charge” button
1494;U+1F22F;🈯;;;;;;;;;;—;;Japanese “reserved” button
1495;U+1F250;🉐;;;;;;;;;;—;;Japanese “bargain” button
1496;U+1F239;🈹;;;;;;;;;;—;;Japanese “discount” button
1497;U+1F21A;🈚;;;;;;;;;;—;—;Japanese “free of charge” button
1498;U+1F232;🈲;;;;;;;;;—;;—;Japanese “prohibited” button
1499;U+1F251;🉑;;;;;;;;;—;—;;Japanese “acceptable” button
1500;U+1F238;🈸;;;;;;;;;;—;—;Japanese “application” button
1501;U+1F234;🈴;;;;;;;;;—;;—;Japanese “passing grade” button
1502;U+1F233;🈳;;;;;;;;;;;;Japanese “vacancy” button
1503;U+3297;㊗;;;;;;;;;;—;;Japanese “congratulations” button
1504;U+3299;㊙;;;;;;;;;;;;Japanese “secret” button
1505;U+1F23A;🈺;;;;;;;;;;—;;Japanese “open for business” button
1506;U+1F235;🈵;;;;;;;;;;;;Japanese “no vacancy” button
geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric;geometric
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1507;U+1F534;🔴;;;;;;;;;;—;;red circle
1508;U+1F7E0;🟠;;;;;;;;—;—;—;—;orange circle
1509;U+1F7E1;🟡;;;;;;;;—;—;—;—;yellow circle
1510;U+1F7E2;🟢;;;;;;;;—;—;—;—;green circle
1511;U+1F535;🔵;;;;;;;;;—;—;;blue circle
1512;U+1F7E3;🟣;;;;;;;;—;—;—;—;purple circle
1513;U+1F7E4;🟤;;;;;;;;—;—;—;—;brown circle
1514;U+26AB;⚫;;;;;;;;;—;—;;black circle
1515;U+26AA;⚪;;;;;;;;;—;—;;white circle
1516;U+1F7E5;🟥;;;;;;;;—;—;—;—;red square
1517;U+1F7E7;🟧;;;;;;;;—;—;—;—;orange square
1518;U+1F7E8;🟨;;;;;;;;—;—;—;—;yellow square
1519;U+1F7E9;🟩;;;;;;;;—;—;—;—;green square
1520;U+1F7E6;🟦;;;;;;;;—;—;—;—;blue square
1521;U+1F7EA;🟪;;;;;;;;—;—;—;—;purple square
1522;U+1F7EB;🟫;;;;;;;;—;—;—;—;brown square
1523;U+2B1B;⬛;;;;;;;;—;—;—;;black large square
1524;U+2B1C;⬜;;;;;;;;—;—;—;;white large square
1525;U+25FC;◼;;;;;;;;;—;—;;black medium square
1526;U+25FB;◻;;;;;;;;;—;—;;white medium square
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1527;U+25FE;◾;;;;;;;;;—;—;;black medium-small square
1528;U+25FD;◽;;;;;;;;;—;—;;white medium-small square
1529;U+25AA;▪;;;;;;;;;—;—;;black small square
1530;U+25AB;▫;;;;;;;;;—;—;;white small square
1531;U+1F536;🔶;;;;;;;;;—;—;;large orange diamond
1532;U+1F537;🔷;;;;;;;;;—;—;;large blue diamond
1533;U+1F538;🔸;;;;;;;;;—;—;;small orange diamond
1534;U+1F539;🔹;;;;;;;;;—;—;;small blue diamond
1535;U+1F53A;🔺;;;;;;;;;—;—;;red triangle pointed up
1536;U+1F53B;🔻;;;;;;;;;—;—;;red triangle pointed down
1537;U+1F4A0;💠;;;;;;;;;—;;—;diamond with a dot
1538;U+1F518;🔘;;;;;;;;;—;—;;radio button
1539;U+1F533;🔳;;;;;;;;;;—;—;white square button
1540;U+1F532;🔲;;;;;;;;—;;—;—;black square button
Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags;Flags
flag;flag;flag;flag;flag;flag;flag;flag;flag;flag;flag;flag;flag;flag;flag
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1541;U+1F3C1;🏁;;;;;;;;;;;;chequered flag
1542;U+1F6A9;🚩;;;;;;;;;—;;;triangular flag
1543;U+1F38C;🎌;;;;;;;—;;;—;;crossed flags
1544;U+1F3F4;🏴;;;;;;;;—;—;—;—;black flag
1545;U+1F3F3;🏳;;;;;;;;—;—;—;—;white flag
1546;U+1F3F3 U+FE0F U+200D U+1F308;🏳️‍🌈;;;;;;;;—;—;—;—;rainbow flag
1547;U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F;🏳️‍⚧️;—;;;—;;;—;—;—;—;—;⊛ transgender flag
1548;U+1F3F4 U+200D U+2620 U+FE0F;🏴‍☠️;;;;;;;;—;—;—;—;pirate flag
country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag;country-flag
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1549;U+1F1E6 U+1F1E8;🇦🇨;;;;—;;;;—;—;—;—;flag: Ascension Island
1550;U+1F1E6 U+1F1E9;🇦🇩;;;;—;;;;—;—;—;—;flag: Andorra
1551;U+1F1E6 U+1F1EA;🇦🇪;;;;—;;;;—;—;—;—;flag: United Arab Emirates
1552;U+1F1E6 U+1F1EB;🇦🇫;;;;—;;;;—;—;—;—;flag: Afghanistan
1553;U+1F1E6 U+1F1EC;🇦🇬;;;;—;;;;—;—;—;—;flag: Antigua & Barbuda
1554;U+1F1E6 U+1F1EE;🇦🇮;;;;—;;;;—;—;—;—;flag: Anguilla
1555;U+1F1E6 U+1F1F1;🇦🇱;;;;—;;;;—;—;—;—;flag: Albania
1556;U+1F1E6 U+1F1F2;🇦🇲;;;;—;;;;—;—;—;—;flag: Armenia
1557;U+1F1E6 U+1F1F4;🇦🇴;;;;—;;;;—;—;—;—;flag: Angola
1558;U+1F1E6 U+1F1F6;🇦🇶;;;;—;;;;—;—;—;—;flag: Antarctica
1559;U+1F1E6 U+1F1F7;🇦🇷;;;;—;;;;—;—;—;—;flag: Argentina
1560;U+1F1E6 U+1F1F8;🇦🇸;;;;—;;;;—;—;—;—;flag: American Samoa
1561;U+1F1E6 U+1F1F9;🇦🇹;;;;—;;;;—;—;—;—;flag: Austria
1562;U+1F1E6 U+1F1FA;🇦🇺;;;;—;;;;—;—;—;—;flag: Australia
1563;U+1F1E6 U+1F1FC;🇦🇼;;;;—;;;;—;—;—;—;flag: Aruba
1564;U+1F1E6 U+1F1FD;🇦🇽;;;;—;;;;—;—;—;—;flag: Åland Islands
1565;U+1F1E6 U+1F1FF;🇦🇿;;;;—;;;;—;—;—;—;flag: Azerbaijan
1566;U+1F1E7 U+1F1E6;🇧🇦;;;;—;;;;—;—;—;—;flag: Bosnia & Herzegovina
1567;U+1F1E7 U+1F1E7;🇧🇧;;;;—;;;;—;—;—;—;flag: Barbados
1568;U+1F1E7 U+1F1E9;🇧🇩;;;;—;;;;—;—;—;—;flag: Bangladesh
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1569;U+1F1E7 U+1F1EA;🇧🇪;;;;—;;;;—;—;—;—;flag: Belgium
1570;U+1F1E7 U+1F1EB;🇧🇫;;;;—;;;;—;—;—;—;flag: Burkina Faso
1571;U+1F1E7 U+1F1EC;🇧🇬;;;;—;;;;—;—;—;—;flag: Bulgaria
1572;U+1F1E7 U+1F1ED;🇧🇭;;;;—;;;;—;—;—;—;flag: Bahrain
1573;U+1F1E7 U+1F1EE;🇧🇮;;;;—;;;;—;—;—;—;flag: Burundi
1574;U+1F1E7 U+1F1EF;🇧🇯;;;;—;;;;—;—;—;—;flag: Benin
1575;U+1F1E7 U+1F1F1;🇧🇱;;;;—;;;;—;—;—;—;flag: St. Barthélemy
1576;U+1F1E7 U+1F1F2;🇧🇲;;;;—;;;;—;—;—;—;flag: Bermuda
1577;U+1F1E7 U+1F1F3;🇧🇳;;;;—;;;;—;—;—;—;flag: Brunei
1578;U+1F1E7 U+1F1F4;🇧🇴;;;;—;;;;—;—;—;—;flag: Bolivia
1579;U+1F1E7 U+1F1F6;🇧🇶;;;;—;;;;—;—;—;—;flag: Caribbean Netherlands
1580;U+1F1E7 U+1F1F7;🇧🇷;;;;—;;;;—;—;—;—;flag: Brazil
1581;U+1F1E7 U+1F1F8;🇧🇸;;;;—;;;;—;—;—;—;flag: Bahamas
1582;U+1F1E7 U+1F1F9;🇧🇹;;;;—;;;;—;—;—;—;flag: Bhutan
1583;U+1F1E7 U+1F1FB;🇧🇻;;;;—;;;;—;—;—;—;flag: Bouvet Island
1584;U+1F1E7 U+1F1FC;🇧🇼;;;;—;;;;—;—;—;—;flag: Botswana
1585;U+1F1E7 U+1F1FE;🇧🇾;;;;—;;;;—;—;—;—;flag: Belarus
1586;U+1F1E7 U+1F1FF;🇧🇿;;;;—;;;;—;—;—;—;flag: Belize
1587;U+1F1E8 U+1F1E6;🇨🇦;;;;—;;;;—;—;—;—;flag: Canada
1588;U+1F1E8 U+1F1E8;🇨🇨;;;;—;;;;—;—;—;—;flag: Cocos (Keeling) Islands
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1589;U+1F1E8 U+1F1E9;🇨🇩;;;;—;;;;—;—;—;—;flag: Congo - Kinshasa
1590;U+1F1E8 U+1F1EB;🇨🇫;;;;—;;;;—;—;—;—;flag: Central African Republic
1591;U+1F1E8 U+1F1EC;🇨🇬;;;;—;;;;—;—;—;—;flag: Congo - Brazzaville
1592;U+1F1E8 U+1F1ED;🇨🇭;;;;—;;;;—;—;—;—;flag: Switzerland
1593;U+1F1E8 U+1F1EE;🇨🇮;;;;—;;;;—;—;—;—;flag: Côte d’Ivoire
1594;U+1F1E8 U+1F1F0;🇨🇰;;;;—;;;;—;—;—;—;flag: Cook Islands
1595;U+1F1E8 U+1F1F1;🇨🇱;;;;—;;;;—;—;—;—;flag: Chile
1596;U+1F1E8 U+1F1F2;🇨🇲;;;;—;;;;—;—;—;—;flag: Cameroon
1597;U+1F1E8 U+1F1F3;🇨🇳;;;;—;;;;;;—;;flag: China
1598;U+1F1E8 U+1F1F4;🇨🇴;;;;—;;;;—;—;—;—;flag: Colombia
1599;U+1F1E8 U+1F1F5;🇨🇵;;;;—;;;;—;—;—;—;flag: Clipperton Island
1600;U+1F1E8 U+1F1F7;🇨🇷;;;;—;;;;—;—;—;—;flag: Costa Rica
1601;U+1F1E8 U+1F1FA;🇨🇺;;;;—;;;;—;—;—;—;flag: Cuba
1602;U+1F1E8 U+1F1FB;🇨🇻;;;;—;;;;—;—;—;—;flag: Cape Verde
1603;U+1F1E8 U+1F1FC;🇨🇼;;;;—;;;;—;—;—;—;flag: Curaçao
1604;U+1F1E8 U+1F1FD;🇨🇽;;;;—;;;;—;—;—;—;flag: Christmas Island
1605;U+1F1E8 U+1F1FE;🇨🇾;;;;—;;;;—;—;—;—;flag: Cyprus
1606;U+1F1E8 U+1F1FF;🇨🇿;;;;—;;;;—;—;—;—;flag: Czechia
1607;U+1F1E9 U+1F1EA;🇩🇪;;;;—;;;;;;—;;flag: Germany
1608;U+1F1E9 U+1F1EC;🇩🇬;;;;—;;;;—;—;—;—;flag: Diego Garcia
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1609;U+1F1E9 U+1F1EF;🇩🇯;;;;—;;;;—;—;—;—;flag: Djibouti
1610;U+1F1E9 U+1F1F0;🇩🇰;;;;—;;;;—;—;—;—;flag: Denmark
1611;U+1F1E9 U+1F1F2;🇩🇲;;;;—;;;;—;—;—;—;flag: Dominica
1612;U+1F1E9 U+1F1F4;🇩🇴;;;;—;;;;—;—;—;—;flag: Dominican Republic
1613;U+1F1E9 U+1F1FF;🇩🇿;;;;—;;;;—;—;—;—;flag: Algeria
1614;U+1F1EA U+1F1E6;🇪🇦;;;;—;;;;—;—;—;—;flag: Ceuta & Melilla
1615;U+1F1EA U+1F1E8;🇪🇨;;;;—;;;;—;—;—;—;flag: Ecuador
1616;U+1F1EA U+1F1EA;🇪🇪;;;;—;;;;—;—;—;—;flag: Estonia
1617;U+1F1EA U+1F1EC;🇪🇬;;;;—;;;;—;—;—;—;flag: Egypt
1618;U+1F1EA U+1F1ED;🇪🇭;;;;—;;;;—;—;—;—;flag: Western Sahara
1619;U+1F1EA U+1F1F7;🇪🇷;;;;—;;;;—;—;—;—;flag: Eritrea
1620;U+1F1EA U+1F1F8;🇪🇸;;;;—;;;;;;—;;flag: Spain
1621;U+1F1EA U+1F1F9;🇪🇹;;;;—;;;;—;—;—;—;flag: Ethiopia
1622;U+1F1EA U+1F1FA;🇪🇺;;;;—;;;;—;—;—;—;flag: European Union
1623;U+1F1EB U+1F1EE;🇫🇮;;;;—;;;;—;—;—;—;flag: Finland
1624;U+1F1EB U+1F1EF;🇫🇯;;;;—;;;;—;—;—;—;flag: Fiji
1625;U+1F1EB U+1F1F0;🇫🇰;;;;—;;;;—;—;—;—;flag: Falkland Islands
1626;U+1F1EB U+1F1F2;🇫🇲;;;;—;;;;—;—;—;—;flag: Micronesia
1627;U+1F1EB U+1F1F4;🇫🇴;;;;—;;;;—;—;—;—;flag: Faroe Islands
1628;U+1F1EB U+1F1F7;🇫🇷;;;;—;;;;;;—;;flag: France
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1629;U+1F1EC U+1F1E6;🇬🇦;;;;—;;;;—;—;—;—;flag: Gabon
1630;U+1F1EC U+1F1E7;🇬🇧;;;;—;;;;;;—;;flag: United Kingdom
1631;U+1F1EC U+1F1E9;🇬🇩;;;;—;;;;—;—;—;—;flag: Grenada
1632;U+1F1EC U+1F1EA;🇬🇪;;;;—;;;;—;—;—;—;flag: Georgia
1633;U+1F1EC U+1F1EB;🇬🇫;;;;—;;;;—;—;—;—;flag: French Guiana
1634;U+1F1EC U+1F1EC;🇬🇬;;;;—;;;;—;—;—;—;flag: Guernsey
1635;U+1F1EC U+1F1ED;🇬🇭;;;;—;;;;—;—;—;—;flag: Ghana
1636;U+1F1EC U+1F1EE;🇬🇮;;;;—;;;;—;—;—;—;flag: Gibraltar
1637;U+1F1EC U+1F1F1;🇬🇱;;;;—;;;;—;—;—;—;flag: Greenland
1638;U+1F1EC U+1F1F2;🇬🇲;;;;—;;;;—;—;—;—;flag: Gambia
1639;U+1F1EC U+1F1F3;🇬🇳;;;;—;;;;—;—;—;—;flag: Guinea
1640;U+1F1EC U+1F1F5;🇬🇵;;;;—;;;;—;—;—;—;flag: Guadeloupe
1641;U+1F1EC U+1F1F6;🇬🇶;;;;—;;;;—;—;—;—;flag: Equatorial Guinea
1642;U+1F1EC U+1F1F7;🇬🇷;;;;—;;;;—;—;—;—;flag: Greece
1643;U+1F1EC U+1F1F8;🇬🇸;;;;—;;;;—;—;—;—;flag: South Georgia & South Sandwich Islands
1644;U+1F1EC U+1F1F9;🇬🇹;;;;—;;;;—;—;—;—;flag: Guatemala
1645;U+1F1EC U+1F1FA;🇬🇺;;;;—;;;;—;—;—;—;flag: Guam
1646;U+1F1EC U+1F1FC;🇬🇼;;;;—;;;;—;—;—;—;flag: Guinea-Bissau
1647;U+1F1EC U+1F1FE;🇬🇾;;;;—;;;;—;—;—;—;flag: Guyana
1648;U+1F1ED U+1F1F0;🇭🇰;;;;—;;;;—;—;—;—;flag: Hong Kong SAR China
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1649;U+1F1ED U+1F1F2;🇭🇲;;;;—;;;;—;—;—;—;flag: Heard & McDonald Islands
1650;U+1F1ED U+1F1F3;🇭🇳;;;;—;;;;—;—;—;—;flag: Honduras
1651;U+1F1ED U+1F1F7;🇭🇷;;;;—;;;;—;—;—;—;flag: Croatia
1652;U+1F1ED U+1F1F9;🇭🇹;;;;—;;;;—;—;—;—;flag: Haiti
1653;U+1F1ED U+1F1FA;🇭🇺;;;;—;;;;—;—;—;—;flag: Hungary
1654;U+1F1EE U+1F1E8;🇮🇨;;;;—;;;;—;—;—;—;flag: Canary Islands
1655;U+1F1EE U+1F1E9;🇮🇩;;;;—;;;;—;—;—;—;flag: Indonesia
1656;U+1F1EE U+1F1EA;🇮🇪;;;;—;;;;—;—;—;—;flag: Ireland
1657;U+1F1EE U+1F1F1;🇮🇱;;;;—;;;;—;—;—;—;flag: Israel
1658;U+1F1EE U+1F1F2;🇮🇲;;;;—;;;;—;—;—;—;flag: Isle of Man
1659;U+1F1EE U+1F1F3;🇮🇳;;;;—;;;;—;—;—;—;flag: India
1660;U+1F1EE U+1F1F4;🇮🇴;;;;—;;;;—;—;—;—;flag: British Indian Ocean Territory
1661;U+1F1EE U+1F1F6;🇮🇶;;;;—;;;;—;—;—;—;flag: Iraq
1662;U+1F1EE U+1F1F7;🇮🇷;;;;—;;;;—;—;—;—;flag: Iran
1663;U+1F1EE U+1F1F8;🇮🇸;;;;—;;;;—;—;—;—;flag: Iceland
1664;U+1F1EE U+1F1F9;🇮🇹;;;;—;;;;;;—;;flag: Italy
1665;U+1F1EF U+1F1EA;🇯🇪;;;;—;;;;—;—;—;—;flag: Jersey
1666;U+1F1EF U+1F1F2;🇯🇲;;;;—;;;;—;—;—;—;flag: Jamaica
1667;U+1F1EF U+1F1F4;🇯🇴;;;;—;;;;—;—;—;—;flag: Jordan
1668;U+1F1EF U+1F1F5;🇯🇵;;;;—;;;;;;—;;flag: Japan
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1669;U+1F1F0 U+1F1EA;🇰🇪;;;;—;;;;—;—;—;—;flag: Kenya
1670;U+1F1F0 U+1F1EC;🇰🇬;;;;—;;;;—;—;—;—;flag: Kyrgyzstan
1671;U+1F1F0 U+1F1ED;🇰🇭;;;;—;;;;—;—;—;—;flag: Cambodia
1672;U+1F1F0 U+1F1EE;🇰🇮;;;;—;;;;—;—;—;—;flag: Kiribati
1673;U+1F1F0 U+1F1F2;🇰🇲;;;;—;;;;—;—;—;—;flag: Comoros
1674;U+1F1F0 U+1F1F3;🇰🇳;;;;—;;;;—;—;—;—;flag: St. Kitts & Nevis
1675;U+1F1F0 U+1F1F5;🇰🇵;;;;—;;;;—;—;—;—;flag: North Korea
1676;U+1F1F0 U+1F1F7;🇰🇷;;;;—;;;;;;—;;flag: South Korea
1677;U+1F1F0 U+1F1FC;🇰🇼;;;;—;;;;—;—;—;—;flag: Kuwait
1678;U+1F1F0 U+1F1FE;🇰🇾;;;;—;;;;—;—;—;—;flag: Cayman Islands
1679;U+1F1F0 U+1F1FF;🇰🇿;;;;—;;;;—;—;—;—;flag: Kazakhstan
1680;U+1F1F1 U+1F1E6;🇱🇦;;;;—;;;;—;—;—;—;flag: Laos
1681;U+1F1F1 U+1F1E7;🇱🇧;;;;—;;;;—;—;—;—;flag: Lebanon
1682;U+1F1F1 U+1F1E8;🇱🇨;;;;—;;;;—;—;—;—;flag: St. Lucia
1683;U+1F1F1 U+1F1EE;🇱🇮;;;;—;;;;—;—;—;—;flag: Liechtenstein
1684;U+1F1F1 U+1F1F0;🇱🇰;;;;—;;;;—;—;—;—;flag: Sri Lanka
1685;U+1F1F1 U+1F1F7;🇱🇷;;;;—;;;;—;—;—;—;flag: Liberia
1686;U+1F1F1 U+1F1F8;🇱🇸;;;;—;;;;—;—;—;—;flag: Lesotho
1687;U+1F1F1 U+1F1F9;🇱🇹;;;;—;;;;—;—;—;—;flag: Lithuania
1688;U+1F1F1 U+1F1FA;🇱🇺;;;;—;;;;—;—;—;—;flag: Luxembourg
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1689;U+1F1F1 U+1F1FB;🇱🇻;;;;—;;;;—;—;—;—;flag: Latvia
1690;U+1F1F1 U+1F1FE;🇱🇾;;;;—;;;;—;—;—;—;flag: Libya
1691;U+1F1F2 U+1F1E6;🇲🇦;;;;—;;;;—;—;—;—;flag: Morocco
1692;U+1F1F2 U+1F1E8;🇲🇨;;;;—;;;;—;—;—;—;flag: Monaco
1693;U+1F1F2 U+1F1E9;🇲🇩;;;;—;;;;—;—;—;—;flag: Moldova
1694;U+1F1F2 U+1F1EA;🇲🇪;;;;—;;;;—;—;—;—;flag: Montenegro
1695;U+1F1F2 U+1F1EB;🇲🇫;;;;—;;;;—;—;—;—;flag: St. Martin
1696;U+1F1F2 U+1F1EC;🇲🇬;;;;—;;;;—;—;—;—;flag: Madagascar
1697;U+1F1F2 U+1F1ED;🇲🇭;;;;—;;;;—;—;—;—;flag: Marshall Islands
1698;U+1F1F2 U+1F1F0;🇲🇰;;;;—;;;;—;—;—;—;flag: North Macedonia
1699;U+1F1F2 U+1F1F1;🇲🇱;;;;—;;;;—;—;—;—;flag: Mali
1700;U+1F1F2 U+1F1F2;🇲🇲;;;;—;;;;—;—;—;—;flag: Myanmar (Burma)
1701;U+1F1F2 U+1F1F3;🇲🇳;;;;—;;;;—;—;—;—;flag: Mongolia
1702;U+1F1F2 U+1F1F4;🇲🇴;;;;—;;;;—;—;—;—;flag: Macao SAR China
1703;U+1F1F2 U+1F1F5;🇲🇵;;;;—;;;;—;—;—;—;flag: Northern Mariana Islands
1704;U+1F1F2 U+1F1F6;🇲🇶;;;;—;;;;—;—;—;—;flag: Martinique
1705;U+1F1F2 U+1F1F7;🇲🇷;;;;—;;;;—;—;—;—;flag: Mauritania
1706;U+1F1F2 U+1F1F8;🇲🇸;;;;—;;;;—;—;—;—;flag: Montserrat
1707;U+1F1F2 U+1F1F9;🇲🇹;;;;—;;;;—;—;—;—;flag: Malta
1708;U+1F1F2 U+1F1FA;🇲🇺;;;;—;;;;—;—;—;—;flag: Mauritius
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1709;U+1F1F2 U+1F1FB;🇲🇻;;;;—;;;;—;—;—;—;flag: Maldives
1710;U+1F1F2 U+1F1FC;🇲🇼;;;;—;;;;—;—;—;—;flag: Malawi
1711;U+1F1F2 U+1F1FD;🇲🇽;;;;—;;;;—;—;—;—;flag: Mexico
1712;U+1F1F2 U+1F1FE;🇲🇾;;;;—;;;;—;—;—;—;flag: Malaysia
1713;U+1F1F2 U+1F1FF;🇲🇿;;;;—;;;;—;—;—;—;flag: Mozambique
1714;U+1F1F3 U+1F1E6;🇳🇦;;;;—;;;;—;—;—;—;flag: Namibia
1715;U+1F1F3 U+1F1E8;🇳🇨;;;;—;;;;—;—;—;—;flag: New Caledonia
1716;U+1F1F3 U+1F1EA;🇳🇪;;;;—;;;;—;—;—;—;flag: Niger
1717;U+1F1F3 U+1F1EB;🇳🇫;;;;—;;;;—;—;—;—;flag: Norfolk Island
1718;U+1F1F3 U+1F1EC;🇳🇬;;;;—;;;;—;—;—;—;flag: Nigeria
1719;U+1F1F3 U+1F1EE;🇳🇮;;;;—;;;;—;—;—;—;flag: Nicaragua
1720;U+1F1F3 U+1F1F1;🇳🇱;;;;—;;;;—;—;—;—;flag: Netherlands
1721;U+1F1F3 U+1F1F4;🇳🇴;;;;—;;;;—;—;—;—;flag: Norway
1722;U+1F1F3 U+1F1F5;🇳🇵;;;;—;;;;—;—;—;—;flag: Nepal
1723;U+1F1F3 U+1F1F7;🇳🇷;;;;—;;;;—;—;—;—;flag: Nauru
1724;U+1F1F3 U+1F1FA;🇳🇺;;;;—;;;;—;—;—;—;flag: Niue
1725;U+1F1F3 U+1F1FF;🇳🇿;;;;—;;;;—;—;—;—;flag: New Zealand
1726;U+1F1F4 U+1F1F2;🇴🇲;;;;—;;;;—;—;—;—;flag: Oman
1727;U+1F1F5 U+1F1E6;🇵🇦;;;;—;;;;—;—;—;—;flag: Panama
1728;U+1F1F5 U+1F1EA;🇵🇪;;;;—;;;;—;—;—;—;flag: Peru
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1729;U+1F1F5 U+1F1EB;🇵🇫;;;;—;;;;—;—;—;—;flag: French Polynesia
1730;U+1F1F5 U+1F1EC;🇵🇬;;;;—;;;;—;—;—;—;flag: Papua New Guinea
1731;U+1F1F5 U+1F1ED;🇵🇭;;;;—;;;;—;—;—;—;flag: Philippines
1732;U+1F1F5 U+1F1F0;🇵🇰;;;;—;;;;—;—;—;—;flag: Pakistan
1733;U+1F1F5 U+1F1F1;🇵🇱;;;;—;;;;—;—;—;—;flag: Poland
1734;U+1F1F5 U+1F1F2;🇵🇲;;;;—;;;;—;—;—;—;flag: St. Pierre & Miquelon
1735;U+1F1F5 U+1F1F3;🇵🇳;;;;—;;;;—;—;—;—;flag: Pitcairn Islands
1736;U+1F1F5 U+1F1F7;🇵🇷;;;;—;;;;—;—;—;—;flag: Puerto Rico
1737;U+1F1F5 U+1F1F8;🇵🇸;;;;—;;;;—;—;—;—;flag: Palestinian Territories
1738;U+1F1F5 U+1F1F9;🇵🇹;;;;—;;;;—;—;—;—;flag: Portugal
1739;U+1F1F5 U+1F1FC;🇵🇼;;;;—;;;;—;—;—;—;flag: Palau
1740;U+1F1F5 U+1F1FE;🇵🇾;;;;—;;;;—;—;—;—;flag: Paraguay
1741;U+1F1F6 U+1F1E6;🇶🇦;;;;—;;;;—;—;—;—;flag: Qatar
1742;U+1F1F7 U+1F1EA;🇷🇪;;;;—;;;;—;—;—;—;flag: Réunion
1743;U+1F1F7 U+1F1F4;🇷🇴;;;;—;;;;—;—;—;—;flag: Romania
1744;U+1F1F7 U+1F1F8;🇷🇸;;;;—;;;;—;—;—;—;flag: Serbia
1745;U+1F1F7 U+1F1FA;🇷🇺;;;;—;;;;;;—;;flag: Russia
1746;U+1F1F7 U+1F1FC;🇷🇼;;;;—;;;;—;—;—;—;flag: Rwanda
1747;U+1F1F8 U+1F1E6;🇸🇦;;;;—;;;;—;—;—;—;flag: Saudi Arabia
1748;U+1F1F8 U+1F1E7;🇸🇧;;;;—;;;;—;—;—;—;flag: Solomon Islands
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1749;U+1F1F8 U+1F1E8;🇸🇨;;;;—;;;;—;—;—;—;flag: Seychelles
1750;U+1F1F8 U+1F1E9;🇸🇩;;;;—;;;;—;—;—;—;flag: Sudan
1751;U+1F1F8 U+1F1EA;🇸🇪;;;;—;;;;—;—;—;—;flag: Sweden
1752;U+1F1F8 U+1F1EC;🇸🇬;;;;—;;;;—;—;—;—;flag: Singapore
1753;U+1F1F8 U+1F1ED;🇸🇭;;;;—;;;;—;—;—;—;flag: St. Helena
1754;U+1F1F8 U+1F1EE;🇸🇮;;;;—;;;;—;—;—;—;flag: Slovenia
1755;U+1F1F8 U+1F1EF;🇸🇯;;;;—;;;;—;—;—;—;flag: Svalbard & Jan Mayen
1756;U+1F1F8 U+1F1F0;🇸🇰;;;;—;;;;—;—;—;—;flag: Slovakia
